                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.878,                 5.4204,                 2.8584,                  2.057,                0.01016,                0.77801,                0.08464,                0.02938,                0.00856,                 0.6556,                0.06493,                0.01898,                 1.6483,                 4.4022,                 3.1308,                 2.2347,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.3254,                 3.2715,                 2.5426,                 1.6765,                0.01016,                0.77801,                0.09354,                0.03857,                0.00856,                 0.6556,                0.06126,                0.02012,                 1.7571,                 5.4198,                 3.1909,                 2.4181,             0.00016812,             0.00016812,             0.00016812
                      3,                 1.1311,                  2.502,                 1.9667,                 1.5639,                0.01049,                 0.8029,                0.24697,                0.10917,                0.00938,                0.71784,                 0.2029,                0.08473,                  1.558,                 5.0659,                 3.0036,                 2.0655,             0.00024304,             0.00024304,             0.00024304
                      4,                 1.0875,                 2.2182,                 1.7474,                  1.542,                0.87929,                0.09959,                 0.4354,                0.24077,                0.89761,                0.10166,                0.40941,                0.21472,                 1.2053,                  3.986,                 2.7214,                 1.7316,             0.00030476,             0.00030476,             0.00030476
                      5,                 1.0312,                 1.9915,                 1.6248,                 1.4416,                0.71952,                0.36191,                0.50863,                0.31579,                0.70302,                0.35361,                0.48377,                0.26889,                 1.0951,                 3.6486,                 2.4371,                 1.6035,             0.00035328,             0.00035328,             0.00035328
                      6,                 1.1512,                 2.1359,                 2.1209,                 1.6294,                0.66211,                0.35062,                0.48761,                 0.2709,                0.70129,                0.37137,                0.50675,                0.25718,                 1.1943,                 3.2757,                 2.5803,                 1.7032,              0.0003886,              0.0003886,              0.0003886
                      7,                 1.0735,                 1.9951,                 1.9196,                 1.5566,                0.68867,                0.41304,                0.51698,                0.29632,                0.75301,                0.43012,                0.55978,                0.28441,                 1.2005,                  3.008,                 2.4206,                 1.6206,             0.00041072,             0.00041072,             0.00041072
                      8,                0.98932,                 1.8707,                 1.8204,                 1.5081,                0.77645,                0.41795,                0.58908,                0.35756,                0.78801,                0.42418,                0.58983,                0.35173,                 1.1437,                 2.8372,                 2.4156,                 1.5849,             0.00041964,             0.00041964,             0.00041964
                      9,                0.97316,                 1.7651,                 1.7336,                 1.4726,                0.61278,                0.47718,                0.50835,                 0.3051,                0.60161,                0.45643,                0.49124,                0.24865,                 1.2182,                 3.2268,                 2.3504,                 1.6016,             0.00041536,             0.00041536,             0.00041536
                     10,                0.96183,                 1.7677,                 1.6139,                 1.4651,                0.76206,                0.57809,                0.66009,                0.42822,                0.76479,                0.57676,                0.63791,                0.36163,                 1.1073,                 2.7955,                 2.1382,                 1.4923,             0.00039788,             0.00039788,             0.00039788
                     11,                0.91464,                 1.6606,                 1.5728,                 1.3987,                0.61565,                0.53503,                0.57718,                0.37627,                0.60924,                0.52078,                0.55831,                 0.3136,                  1.106,                 3.3396,                 2.1223,                 1.5228,              0.0003672,              0.0003672,              0.0003672
                     12,                0.85595,                 1.5317,                 1.5119,                 1.3542,                0.69294,                0.55602,                0.60823,                0.37426,                0.69073,                0.56224,                0.60934,                0.35324,                  1.172,                 2.4912,                 2.0681,                 1.5649,             0.00032332,             0.00032332,             0.00032332
                     13,                0.79797,                 1.4579,                 1.3805,                 1.3062,                0.73569,                0.64523,                0.67841,                0.45073,                0.72649,                0.63278,                0.65098,                0.39309,                 1.0325,                 2.3846,                 1.9227,                 1.3785,             0.00026624,             0.00026624,             0.00026624
                     14,                 0.7797,                 1.4614,                 1.3711,                 1.3094,                0.82351,                0.67012,                0.72638,                0.51034,                0.82549,                0.66733,                0.71856,                 0.4652,                0.95786,                 2.2029,                  1.809,                 1.3272,             0.00019596,             0.00019596,             0.00019596
                     15,                0.79344,                 1.3903,                 1.3559,                 1.3389,                0.83638,                 0.6888,                0.73181,                0.54563,                0.85479,                0.69502,                 0.7371,                0.52838,                0.87576,                 1.8409,                 1.7113,                 1.2413,             0.00011248,             0.00011248,             0.00011248
